beat_index,boundary_probability
0,0.02631578947368421
1,0.0
2,0.02631578947368421
3,0.13157894736842105
4,0.0
5,0.10526315789473684
6,0.0
7,0.0
8,0.0
9,0.02631578947368421
10,0.4473684210526316
11,0.10526315789473684
12,0.2631578947368421
13,0.0
14,0.0
15,0.02631578947368421
16,0.0
17,0.02631578947368421
18,0.0
19,0.05263157894736842
20,0.07894736842105263
21,0.02631578947368421
22,0.05263157894736842
23,0.10526315789473684
24,0.18421052631578946
25,0.15789473684210525
26,0.0
27,0.0
28,0.0
29,0.0
30,0.02631578947368421
31,0.10526315789473684
32,0.0
33,0.0
34,0.4473684210526316
35,0.15789473684210525
36,0.15789473684210525
37,0.05263157894736842
38,0.05263157894736842
39,0.02631578947368421
40,0.0
41,0.0
42,0.0
43,0.07894736842105263
44,0.10526315789473684
45,0.0
46,0.07894736842105263
47,0.13157894736842105
48,0.34210526315789475
49,0.07894736842105263
50,0.0
51,0.02631578947368421
52,0.0
53,0.0
54,0.13157894736842105
55,0.05263157894736842
56,0.0
57,0.05263157894736842
58,0.18421052631578946
59,0.2631578947368421
60,0.0
61,0.0
62,0.10526315789473684
63,0.07894736842105263
64,0.02631578947368421
65,0.0
66,0.0
67,0.0
68,0.0
69,0.02631578947368421
70,0.23684210526315788
71,0.3157894736842105
72,0.3157894736842105
73,0.10526315789473684
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.07894736842105263
80,0.13157894736842105
81,0.0
82,0.05263157894736842
83,0.10526315789473684
84,0.21052631578947367
85,0.0
86,0.02631578947368421
87,0.0
88,0.0
89,0.0
90,0.05263157894736842
91,0.10526315789473684
92,0.0
93,0.0
94,0.18421052631578946
95,0.15789473684210525
96,0.05263157894736842
97,0.0
98,0.10526315789473684
99,0.02631578947368421
100,0.05263157894736842
101,0.0
102,0.0
103,0.0
104,0.0
105,0.02631578947368421
106,0.15789473684210525
107,0.34210526315789475
108,0.23684210526315788
109,0.15789473684210525
110,0.02631578947368421
111,0.0
112,0.0
113,0.0
114,0.0
115,0.02631578947368421
116,0.07894736842105263
117,0.0
118,0.05263157894736842
119,0.13157894736842105
120,0.18421052631578946
121,0.0
122,0.05263157894736842
123,0.0
124,0.0
125,0.02631578947368421
126,0.02631578947368421
127,0.02631578947368421
128,0.0
129,0.05263157894736842
130,0.21052631578947367
131,0.34210526315789475
132,0.10526315789473684
133,0.23684210526315788
134,0.02631578947368421
135,0.02631578947368421
136,0.05263157894736842
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.02631578947368421
143,0.23684210526315788
144,0.10526315789473684
145,0.10526315789473684
146,0.0
147,0.0
148,0.02631578947368421
149,0.10526315789473684
150,0.0
151,0.0
152,0.0
153,0.0
154,0.15789473684210525
155,0.13157894736842105
156,0.5263157894736842
157,0.07894736842105263
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.02631578947368421
167,0.13157894736842105
168,0.02631578947368421
169,0.07894736842105263
170,0.0
171,0.0
172,0.02631578947368421
173,0.631578947368421
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.6052631578947368
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.42105263157894735
191,0.02631578947368421
192,0.21052631578947367
193,0.02631578947368421
194,0.0
195,0.02631578947368421
196,0.0
197,0.0
198,0.0
199,0.05263157894736842
200,0.05263157894736842
201,0.05263157894736842
202,0.07894736842105263
203,0.18421052631578946
204,0.13157894736842105
205,0.18421052631578946
206,0.0
207,0.05263157894736842
208,0.0
209,0.0
210,0.02631578947368421
211,0.02631578947368421
212,0.0
213,0.0
214,0.15789473684210525
215,0.05263157894736842
216,0.0
217,0.05263157894736842
218,0.15789473684210525
219,0.05263157894736842
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.05263157894736842
226,0.21052631578947367
227,0.3157894736842105
228,0.23684210526315788
229,0.10526315789473684
230,0.02631578947368421
231,0.0
232,0.0
233,0.0
234,0.0
235,0.02631578947368421
236,0.0
237,0.02631578947368421
238,0.02631578947368421
239,0.15789473684210525
240,0.05263157894736842
241,0.02631578947368421
242,0.0
243,0.02631578947368421
244,0.0
245,0.0
246,0.02631578947368421
247,0.02631578947368421
248,0.0
249,0.02631578947368421
250,0.0
251,0.42105263157894735
