beat_index,boundary_probability,is_peak
0,0.19047619047619047,0
1,0.047619047619047616,0
2,0.023809523809523808,0
3,0.0,0
4,0.047619047619047616,0
5,0.09523809523809523,0
6,0.023809523809523808,0
7,0.0,0
8,0.023809523809523808,0
9,0.11904761904761904,0
10,0.023809523809523808,0
11,0.2857142857142857,1
12,0.047619047619047616,0
13,0.0,0
14,0.047619047619047616,0
15,0.0,0
16,0.07142857142857142,0
17,0.023809523809523808,0
18,0.0,0
19,0.0,0
20,0.047619047619047616,0
21,0.11904761904761904,0
22,0.047619047619047616,0
23,0.047619047619047616,0
24,0.5714285714285714,1
25,0.16666666666666666,0
26,0.023809523809523808,0
27,0.047619047619047616,0
28,0.047619047619047616,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.047619047619047616,0
35,0.14285714285714285,1
36,0.023809523809523808,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.07142857142857142,0
41,0.023809523809523808,0
42,0.0,0
43,0.047619047619047616,0
44,0.0,0
45,0.023809523809523808,0
46,0.16666666666666666,0
47,0.5952380952380952,1
48,0.047619047619047616,0
49,0.023809523809523808,0
50,0.023809523809523808,0
51,0.16666666666666666,0
52,0.0,0
53,0.023809523809523808,0
54,0.0,0
55,0.0,0
56,0.047619047619047616,0
57,0.0,0
58,0.14285714285714285,0
59,0.07142857142857142,0
60,0.2857142857142857,0
61,0.30952380952380953,1
62,0.023809523809523808,0
63,0.0,0
64,0.0,0
65,0.0,0
66,0.047619047619047616,0
67,0.0,0
68,0.0,0
69,0.0,0
70,0.023809523809523808,0
71,0.16666666666666666,1
72,0.0,0
73,0.0,0
74,0.0,0
75,0.0,0
76,0.07142857142857142,0
77,0.047619047619047616,0
78,0.047619047619047616,0
79,0.0,0
80,0.023809523809523808,0
81,0.07142857142857142,0
82,0.11904761904761904,0
83,0.5714285714285714,1
84,0.023809523809523808,0
85,0.0,0
86,0.07142857142857142,0
87,0.0,0
88,0.07142857142857142,0
89,0.0,0
90,0.047619047619047616,0
91,0.0,0
92,0.0,0
93,0.0,0
94,0.047619047619047616,0
95,0.023809523809523808,0
96,0.2857142857142857,1
97,0.19047619047619047,0
98,0.11904761904761904,0
99,0.023809523809523808,0
100,0.21428571428571427,0
101,0.14285714285714285,0
102,0.0,0
103,0.0,0
104,0.0,0
105,0.023809523809523808,0
106,0.0,0
107,0.0,0
108,0.023809523809523808,0
109,0.047619047619047616,0
110,0.19047619047619047,0
111,0.047619047619047616,0
112,0.11904761904761904,0
113,0.19047619047619047,1
114,0.07142857142857142,0
115,0.023809523809523808,0
116,0.023809523809523808,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.047619047619047616,0
121,0.047619047619047616,0
122,0.07142857142857142,0
123,0.047619047619047616,0
124,0.3333333333333333,1
125,0.23809523809523808,0
126,0.023809523809523808,0
127,0.047619047619047616,0
128,0.047619047619047616,0
129,0.0,0
130,0.0,0
131,0.0,0
132,0.0,0
133,0.047619047619047616,0
134,0.16666666666666666,1
135,0.14285714285714285,0
136,0.047619047619047616,0
137,0.14285714285714285,0
138,0.023809523809523808,0
139,0.047619047619047616,0
140,0.0,0
141,0.0,0
142,0.0,0
143,0.023809523809523808,0
144,0.6428571428571429,1
145,0.023809523809523808,0
146,0.0,0
147,0.0,0
148,0.0,0
149,0.0,0
