//Version: ScorePerfmMatch_v170503
// Score: /Users/toddywang/Documents/VsCodeProjects/xmltoexp/ATEPP-1.2/ATEPP-1.2/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/score_hmm.txt
// Perfm: /Users/toddywang/Documents/VsCodeProjects/xmltoexp/ATEPP-1.2/ATEPP-1.2/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/10506_spr.txt
// fmt3x: /Users/toddywang/Documents/VsCodeProjects/xmltoexp/ATEPP-1.2/ATEPP-1.2/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/score_fmt3x.txt
0	0.436198	0.549479	E2	82	80	0	0	150600	*	3	0
1	0.436198	0.658854	E1	82	80	0	0	150600	*	3	-
2	0.442708	0.579427	A1	84	80	0	0	150600	*	3	-
3	0.453125	0.569010	F#1	76	80	0	0	150600	*	3	-
4	0.576823	0.878906	F#1	68	80	0	0	150600	*	3	-
5	0.589844	0.669271	A1	78	80	0	0	150600	*	3	-
6	0.725260	0.968750	A1	70	80	0	0	150600	*	3	-
7	0.877604	0.959635	F#2	74	80	0	0	150600	*	3	-
8	0.885417	0.989583	F#1	74	80	0	0	150600	*	3	-
9	0.983073	1.169271	A1	82	80	0	0	150600	*	3	-
10	1.002604	1.039062	F#1	69	80	0	0	150600	*	3	-
11	1.045573	1.169271	F#1	62	80	0	0	150600	*	3	-
12	1.174479	1.348958	A1	78	80	0	0	150600	*	3	-
13	1.180990	1.479167	F#1	68	80	0	0	150600	*	3	-
14	1.363281	1.438802	A1	69	80	0	0	150600	*	3	-
15	1.454427	1.549479	A1	62	80	0	0	150600	*	3	-
16	1.490885	1.639323	F#1	69	80	0	0	150600	*	3	-
17	1.555990	1.729167	A1	74	80	0	0	150600	*	3	-
18	1.648438	1.789062	F#1	66	80	0	0	150600	*	3	-
19	1.734375	1.889323	A1	72	80	0	0	150600	*	3	-
20	1.803385	2.289062	F#1	69	80	0	0	150600	*	3	-
21	1.809896	1.819010	F#2	70	80	0	0	150600	*	3	-
22	1.894531	1.979167	A1	68	80	0	0	150600	*	3	-
23	1.992188	2.019531	A1	73	80	0	0	150600	*	3	-
24	2.031250	2.128906	A1	74	80	0	0	150600	*	3	-
25	2.134115	2.438802	A1	74	80	0	0	150600	*	3	-
26	2.303385	2.438802	F#1	70	80	0	0	150600	*	3	-
27	2.445312	2.789062	F#1	73	80	0	0	150600	*	3	-
28	2.447917	2.529948	A1	71	80	0	0	150600	*	3	-
29	2.541667	2.779948	A1	71	80	0	0	150600	*	3	-
30	2.792969	2.878906	A1	70	80	0	0	150600	*	3	-
31	2.795573	2.979167	F#1	67	80	0	0	150600	*	3	-
32	2.889323	2.979167	A1	67	80	0	0	150600	*	3	-
33	2.986979	3.109375	F#1	61	80	0	0	150600	*	3	-
34	2.990885	3.119792	A1	67	80	0	0	150600	*	3	-
35	3.119792	3.949219	F#1	64	80	0	0	150600	*	3	-
36	3.126302	3.279948	A1	72	80	0	0	150600	*	3	-
37	3.290365	3.378906	A1	69	80	0	0	150600	*	3	-
38	3.393229	3.479167	A1	67	80	0	0	150600	*	3	-
39	3.484375	3.789062	A1	68	80	0	0	150600	*	3	-
40	3.794271	4.098958	A1	64	80	0	0	150480	*	3	-
41	4.089844	4.199219	E2	75	80	0	0	150540	*	3	-
42	4.106771	4.609375	A1	76	80	0	0	150540	*	3	-
